nreqs,ctxlen,prefixlen,relay,Memory (GB),Lantency (us),KV mem (GB),Prefix KV mem (GB),cache_op,attn_usr,attn_sys,relay_fusion,others
128,256,16384,true,1.356857344,2885.688841342926,0.872415328,0.436207712,46,522,793,9,1515.688841342926
64,256,64,true,0.448790528,715.301837772131,0.436207712,0.001704032,31,254,11,6,413.30183777213097
8,128,4096,false,0.908066816,1271.9858158379793,0.899678304,0.0,14,541,0,0,716.9858158379793
16,128,256,false,0.169869312,259.11228731274605,0.163577952,0.0,17,97,0,0,145.11228731274605
1,256,8192,false,0.232783872,353.5980358719826,0.224919648,0.0,14,132,0,0,207.59803587198257
64,256,16384,false,28.391243776,35467.54900366068,28.353495136,0.0,31,38242,0,0,-2805.450996339321
64,256,512,false,1.317011456,1839.3416423350573,1.308622944,0.0,36,806,0,0,997.3416423350573
64,256,512,true,0.488636416,724.9748520553112,0.436207712,0.013631584,26,255,23,6,414.9748520553112
64,128,256,false,0.662700032,949.713597074151,0.65431152,0.0,31,392,0,0,526.713597074151
32,256,256,false,0.442499072,637.938603758812,0.436207712,0.0,19,251,0,0,367.93860375881195
128,128,8192,false,28.431089664,38869.26575563848,28.353495136,0.0,64,38142,0,0,663.2657556384802
4,256,16384,true,0.4718592,765.8796198666096,0.027263072,0.436207712,15,20,264,3,463.8796198666096
4,128,4096,true,0.13631488,264.67932388186455,0.013631584,0.109052,15,14,83,2,150.67932388186455
4,256,256,false,0.060817408,117.6153402775526,0.054526048,0.0,15,40,0,0,62.615340277552605
32,128,256,false,0.333447168,495.80570310354227,0.327155808,0.0,20,191,0,0,284.80570310354227
16,256,512,false,0.333447168,486.50769516825676,0.327155808,0.0,18,186,0,0,282.50769516825676
1,256,128,true,0.027262976,105.69055564701557,0.00681584,0.003407968,14,16,14,2,59.69055564701557
4,256,1024,true,0.065011712,168.32225024700165,0.027263072,0.027263072,15,23,32,2,96.32225024700165
1,128,1024,false,0.039845888,111.26822791993618,0.030670944,0.0,14,34,0,0,63.26822791993618
8,256,8192,true,0.278921216,480.83506524562836,0.054526048,0.218103904,16,31,142,3,288.83506524562836
32,128,256,true,0.1572864,259.1562084853649,0.109052,0.00681584,19,73,16,4,147.1562084853649
1,256,16384,true,0.463470592,729.4994592666626,0.00681584,0.436207712,14,15,266,2,432.4994592666626
16,256,8192,false,3.625975808,4979.805713519454,3.598712928,0.0,15,4811,0,0,153.805713519454
4,128,256,false,0.048234496,110.69394648075104,0.04089456,0.0,15,34,0,0,61.69394648075104
4,256,1024,false,0.144703488,215.92695266008377,0.136314976,0.0,14,86,0,0,115.92695266008377
16,256,16384,false,7.115636736,9768.676748499274,7.088373856,0.0,16,9576,0,0,176.67674849927425
64,256,8192,false,14.41792,19764.132658019662,14.394851424,0.0,33,19272,0,0,459.1326580196619
32,128,4096,true,0.245366784,402.2264666855335,0.109052,0.109052,17,67,83,4,231.22646668553352
16,256,128,false,0.169869312,265.6544838100672,0.163577952,0.0,17,101,0,0,147.65448381006718
64,128,16384,false,28.173139968,38607.948292046785,28.135391328,0.0,29,37827,0,0,751.9482920467854
8,256,8192,false,1.826619392,2523.0423640459776,1.799356512,0.0,14,1081,0,0,1428.0423640459776
